lga,confirmed,active,as_of_date
GREATER SHEPPARTON,17,2,2020-07-18
GREATER BENDIGO,14,4,2020-07-18
MACEDON RANGES,13,4,2020-07-18
WELLINGTON,13,0,2020-07-18
LATROBE,11,2,2020-07-18
MOIRA,11,0,2020-07-18
SURF COAST,10,1,2020-07-18
BAW BAW,8,3,2020-07-18
SOUTH GIPPSLAND,7,2,2020-07-18
BASS COAST,6,2,2020-07-18
HORSHAM,6,3,2020-07-18
MOORABOOL,6,3,2020-07-18
MOUNT ALEXANDER,6,0,2020-07-18
ARARAT,5,0,2020-07-18
CAMPASPE,5,0,2020-07-18
GOLDEN PLAINS,5,4,2020-07-18
MILDURA,5,0,2020-07-18
OVERSEAS,5,0,2020-07-18
SWAN HILL,5,1,2020-07-18
WARRNAMBOOL,5,0,2020-07-18
BENALLA,3,0,2020-07-18
LODDON,3,0,2020-07-18
MANSFIELD,3,0,2020-07-18
NORTHERN GRAMPIANS,3,0,2020-07-18
COLAC OTWAY,2,2,2020-07-18
EAST GIPPSLAND,2,1,2020-07-18
GANNAWARRA,2,0,2020-07-18
GLENELG,2,1,2020-07-18
HEPBURN,2,0,2020-07-18
MURRINDINDI,2,0,2020-07-18
SOUTHERN GRAMPIANS,2,0,2020-07-18
STRATHBOGIE,2,0,2020-07-18
WANGARATTA,2,0,2020-07-18
ALPINE,1,0,2020-07-18
CENTRAL GOLDFIELDS,1,0,2020-07-18
CORANGAMITE,1,0,2020-07-18
MOYNE,1,0,2020-07-18
WEST WIMMERA,1,0,2020-07-18
WODONGA,1,0,2020-07-18
YARRIAMBIACK,1,0,2020-07-18
HUME,185,85,2020-07-02
BRIMBANK,142,49,2020-07-02
MORELAND,115,32,2020-07-02
CASEY,113,21,2020-07-02
MELBOURNE,112,29,2020-07-02
STONNINGTON,104,6,2020-07-02
BANYULE,99,4,2020-07-02
WYNDHAM,81,22,2020-07-02
MOONEE VALLEY,80,32,2020-07-02
BOROONDARA,76,2,2020-07-02
MELTON,71,19,2020-07-02
GREATER GEELONG,68,2,2020-07-02
WHITTLESEA,67,21,2020-07-02
INTERSTATE,64,2,2020-07-02
MORNINGTON PENINSULA,63,0,2020-07-02
DAREBIN,60,8,2020-07-02
GLEN EIRA,60,4,2020-07-02
MONASH,55,1,2020-07-02
PORT PHILLIP,52,5,2020-07-02
YARRA,44,12,2020-07-02
FRANKSTON,41,1,2020-07-02
BAYSIDE,36,2,2020-07-02
MANNINGHAM,35,2,2020-07-02
MARIBYRNONG,35,10,2020-07-02
KINGSTON,34,4,2020-07-02
GREATER DANDENONG,28,3,2020-07-02
NILLUMBIK,28,1,2020-07-02
WHITEHORSE,28,3,2020-07-02
YARRA RANGES,27,1,2020-07-02
HOBSONS BAY,26,5,2020-07-02
KNOX,23,3,2020-07-02
CARDINIA,22,0,2020-07-02
MAROONDAH,16,0,2020-07-02
MITCHELL,16,5,2020-07-02
GREATER SHEPPARTON,14,0,2020-07-02
WELLINGTON,12,0,2020-07-02
BALLARAT,11,0,2020-07-02
MOIRA,11,0,2020-07-02
GREATER BENDIGO,10,2,2020-07-02
LATROBE,9,1,2020-07-02
MACEDON RANGES,9,0,2020-07-02
SURF COAST,9,0,2020-07-02
MOUNT ALEXANDER,6,0,2020-07-02
ARARAT,5,0,2020-07-02
BAW BAW,5,0,2020-07-02
CAMPASPE,5,0,2020-07-02
MILDURA,5,0,2020-07-02
SOUTH GIPPSLAND,5,0,2020-07-02
WARRNAMBOOL,5,0,2020-07-02
BASS COAST,4,0,2020-07-02
OVERSEAS,4,0,2020-07-02
SWAN HILL,4,0,2020-07-02
BENALLA,3,0,2020-07-02
HORSHAM,3,0,2020-07-02
LODDON,3,0,2020-07-02
MANSFIELD,3,0,2020-07-02
MOORABOOL,3,0,2020-07-02
NORTHERN GRAMPIANS,3,0,2020-07-02
GANNAWARRA,2,0,2020-07-02
HEPBURN,2,0,2020-07-02
MURRINDINDI,2,0,2020-07-02
SOUTHERN GRAMPIANS,2,0,2020-07-02
STRATHBOGIE,2,0,2020-07-02
WANGARATTA,2,0,2020-07-02
ALPINE,1,0,2020-07-02
CENTRAL GOLDFIELDS,1,0,2020-07-02
CORANGAMITE,1,0,2020-07-02
EAST GIPPSLAND,1,0,2020-07-02
GLENELG,1,0,2020-07-02
GOLDEN PLAINS,1,0,2020-07-02
MOYNE,1,0,2020-07-02
WEST WIMMERA,1,0,2020-07-02
WODONGA,1,0,2020-07-02
YARRIAMBIACK,1,0,2020-07-02
UNKNOWN,24,16,2020-07-02
Total,2303,415,2020-07-02
HUME,593,286,2020-07-20
WYNDHAM,552,350,2020-07-20
BRIMBANK,471,271,2020-07-20
MELBOURNE,455,274,2020-07-20
MOONEE VALLEY,387,220,2020-07-20
MORELAND,313,160,2020-07-20
WHITTLESEA,253,155,2020-07-20
BANYULE,233,122,2020-07-20
MELTON,219,125,2020-07-20
CASEY,213,78,2020-07-20
YARRA,171,111,2020-07-20
DAREBIN,160,84,2020-07-20
MARIBYRNONG,149,90,2020-07-20
STONNINGTON,144,35,2020-07-20
BOROONDARA,123,38,2020-07-20
HOBSONS BAY,106,58,2020-07-20
MONASH,93,33,2020-07-20
PORT PHILLIP,92,32,2020-07-20
GREATER GEELONG,84,13,2020-07-20
INTERSTATE,82,4,2020-07-20
WHITEHORSE,81,48,2020-07-20
MANNINGHAM,79,36,2020-07-20
GLEN EIRA,77,17,2020-07-20
MORNINGTON PENINSULA,72,7,2020-07-20
GREATER DANDENONG,69,37,2020-07-20
KINGSTON,57,20,2020-07-20
FRANKSTON,54,12,2020-07-20
BAYSIDE,50,14,2020-07-20
CARDINIA,44,17,2020-07-20
NILLUMBIK,41,11,2020-07-20
KNOX,40,12,2020-07-20
YARRA RANGES,36,9,2020-07-20
MITCHELL,33,13,2020-07-20
MAROONDAH,29,12,2020-07-20
BALLARAT,20,9,2020-07-20
GREATER SHEPPARTON,17,2,2020-07-20
GREATER BENDIGO,14,4,2020-07-20
MACEDON RANGES,14,5,2020-07-20
WELLINGTON,13,0,2020-07-20
COLAC OTWAY,12,12,2020-07-20
LATROBE,12,3,2020-07-20
MOIRA,11,0,2020-07-20
SURF COAST,10,1,2020-07-20
BAW BAW,8,3,2020-07-20
SOUTH GIPPSLAND,8,3,2020-07-20
BASS COAST,6,2,2020-07-20
GOLDEN PLAINS,6,5,2020-07-20
HORSHAM,6,3,2020-07-20
MOORABOOL,6,3,2020-07-20
MOUNT ALEXANDER,6,0,2020-07-20
ARARAT,5,0,2020-07-20
CAMPASPE,5,0,2020-07-20
MILDURA,5,0,2020-07-20
OVERSEAS,5,0,2020-07-20
SWAN HILL,5,1,2020-07-20
WARRNAMBOOL,5,0,2020-07-20
LODDON,4,1,2020-07-20
BENALLA,3,0,2020-07-20
GLENELG,3,2,2020-07-20
MANSFIELD,3,0,2020-07-20
NORTHERN GRAMPIANS,3,0,2020-07-20
EAST GIPPSLAND,2,1,2020-07-20
GANNAWARRA,2,0,2020-07-20
HEPBURN,2,0,2020-07-20
MURRINDINDI,2,0,2020-07-20
SOUTHERN GRAMPIANS,2,0,2020-07-20
STRATHBOGIE,2,0,2020-07-20
WANGARATTA,2,0,2020-07-20
ALPINE,1,0,2020-07-20
CENTRAL GOLDFIELDS,1,0,2020-07-20
CORANGAMITE,1,0,2020-07-20
MOYNE,1,0,2020-07-20
WEST WIMMERA,1,0,2020-07-20
WODONGA,1,0,2020-07-20
YARRIAMBIACK,1,0,2020-07-20
BULOKE,0,0,2020-07-20
HINDMARSH,0,0,2020-07-20
INDIGO,0,0,2020-07-20
PYRENEES,0,0,2020-07-20
QUEENSCLIFFE,0,0,2020-07-20
TOWONG,0,0,2020-07-20
UNKNOWN,51,49,2020-07-20
Total,5942,2913,2020-07-20
HUME,626,308,2020-07-21
WYNDHAM,588,370,2020-07-21
BRIMBANK,495,289,2020-07-21
MELBOURNE,462,272,2020-07-21
MOONEE VALLEY,402,212,2020-07-21
MORELAND,349,191,2020-07-21
WHITTLESEA,270,166,2020-07-21
BANYULE,242,130,2020-07-21
CASEY,240,103,2020-07-21
MELTON,233,135,2020-07-21
YARRA,183,119,2020-07-21
